topic,termini,post_id,testo
19,"venezuela, oil, strike, united states, united, states",113800699320833807,"Venezuelan democracy activist Maria Corina Machado and President-elect Gonzalez are peacefully expressing the voices and the WILL of the Venezuelan people with hundreds of thousands of people demonstrating against the regime. The great Venezuelan American community in the United States overwhelmingly support a free Venezuela, and strongly supported me. These freedom fighters should not be harmed, and MUST stay SAFE and ALIVE!"
19,"venezuela, oil, strike, united states, united, states",113896070273857964,"I was just informed that two repatriation flights from the United States, with a large number of Illegal Criminals, were not allowed to land in Colombia. This order was given by Colombia's Socialist President Gustavo Petro, who is already very unpopular amongst his people. Petro's denial of these flights has jeopardized the National Security and Public Safety of the United States, so I have directed my Administration to immediately take the following urgent and decisive retaliatory measures: -Em"
19,"venezuela, oil, strike, united states, united, states",113925800748181952,Just been informed that we are bringing six hostages home from Venezuela. Thank you to Ric Grenell and my entire staff. Great job!
19,"venezuela, oil, strike, united states, united, states",113928743830963167,"Hostages from Venezuela arrived home last night, in great condition!"
19,"venezuela, oil, strike, united states, united, states",113929394841474581,"It is so good to have the Venezuela Hostages back home and, very important to note, that Venezuela has agreed to receive, back into their Country, all Venezuela illegal aliens who were encamped in the U.S., including gang members of Tren de Aragua. Venezuela has further agreed to supply the transportation back. We are in the process of removing record numbers of illegal aliens from all Countries, and all Countries have agreed to accept these illegal aliens back. Furthermore, record numbers of cr"
19,"venezuela, oil, strike, united states, united, states",114071774104516883,"We are hereby reversing the concessions that Crooked Joe Biden gave to Nicolás Maduro, of Venezuela, on the oil transaction agreement, dated November 26, 2022, and also having to do with Electoral conditions within Venezuela, which have not been met by the Maduro regime. Additionally, the regime has not been transporting the violent criminals that they sent into our Country (the Good Ole' U.S.A.) back to Venezuela at the rapid pace that they had agreed to. I am therefore ordering that the ineffe"
19,"venezuela, oil, strike, united states, united, states",114259775317961958,"""Trump tariff on Venezuelan oil buyers shakes global market, major refiners pull back"" miamiherald.com/news/nation-wo"
19,"venezuela, oil, strike, united states, united, states",114305448331638991,"Last month, we officially designated Tren de Aragua, MS-13 and the Mexican drug cartels as foreign terrorist organizations—and thanks to the Supreme Court yesterday...we will continue to deport these monsters under the Alien Enemies Act…"
19,"venezuela, oil, strike, united states, united, states",115144139539095661,"United States Attorney for the District of Columbia, Jeanine Pirro: ""You are looking at the largest seizure of precursor chemicals used to manufacture methamphetamine in U.S. history. China was sending over 700,000 lbs on the high seas to the Sinaloa Cartel before my office seized them. Because President Trump and Secretary Rubio declared the Sinaloa Cartel a Foreign Terrorist Organization, we can now strike faster and hit harder."" Video --"
19,"venezuela, oil, strike, united states, united, states",115169686997623003,"""U.S. CRACKS DOWN ON CARTEL ON CARTEL CRUISES"" Video --"
29,"epa, energy, zeldin, lee zeldin, presidential ac, ac",113630131209113398,"Any person or company investing ONE BILLION DOLLARS, OR MORE, in the United States of America, will receive fully expedited approvals and permits, including, but in no way limited to, all Environmental approvals. GET READY TO ROCK!!!"
29,"epa, energy, zeldin, lee zeldin, presidential ac, ac",114151434816736382,"Secretary of Energy Chris Wright: ""President Trump is a businessman. Thank God he became elected president, and what we're seeing now is a master negotiator practicing his craft."""
29,"epa, energy, zeldin, lee zeldin, presidential ac, ac",114156036814880330,"If New York, Connecticut, and New England had their Pipelines, savings from Heating alone would go down $2,300 per family — When you add Air Conditioning, and other things, you would have a $5,000 savings per family. All we need is a simple approval from New York. Every other State in New England, plus Connecticut, wants this, in order to help the Environment, and save BIG money. We only need the final approval from New York State, whose people all want it. Otherwise, we'll have to use other aut"
29,"epa, energy, zeldin, lee zeldin, presidential ac, ac",114178204850237517,"EPA Administrator, Lee Zeldin: ""The Obama and Biden era environmental regulations that strangulated the U.S. economy are not Commandments, etched in stone. Quite the opposite actually. The Trump era EPA will protect the environment AND lower the cost of living."""
29,"epa, energy, zeldin, lee zeldin, presidential ac, ac",114180199351008084,"After years of being held captive by Environmental Extremists, Lunatics, Radicals, and Thugs, allowing other Countries, in particular China, to gain tremendous Economic advantage over us by opening up hundreds of all Coal Fire Power Plants, I am authorizing my Administration to immediately begin producing Energy with BEAUTIFUL, CLEAN COAL."
29,"epa, energy, zeldin, lee zeldin, presidential ac, ac",114190340053945046,"""All energy that's affordable, reliable, and secure is a part of the Trump administration and nuclear absolutely falls in that category."""
29,"epa, energy, zeldin, lee zeldin, presidential ac, ac",114219993599274000,"BREAKING—LEE ZELDIN: ""EPA is initiating 31 historic actions to Power the Great American Comeback in the greatest day of deregulation in American history! Our actions will unleash energy dominance, lower costs for Americans, strengthen the U.S. auto industry, and protect our environment."""
29,"epa, energy, zeldin, lee zeldin, presidential ac, ac",114264713687236941,"""COMBATING UNFAIR PRACTICES IN THE LIVE ENTERTAINMENT MARKET"" EXECUTIVE ORDER: whitehouse.gov/presidential-ac"
29,"epa, energy, zeldin, lee zeldin, presidential ac, ac",114268668984265677,"Lee Zeldin: ""The historic deregulatory actions we are taking at EPA will save the American people TRILLIONS of dollars while we work to provide the cleanest air, land, and water on the planet..."""
29,"epa, energy, zeldin, lee zeldin, presidential ac, ac",114297114613050884,"""To see those plants close, one after another, and just sit idle and then fall into disrepair and collapse, they become abandoned buildings...I'm glad to see Donald Trump finally standing up saying he's going to do something about it."""
34,"prices, gasoline, gas, inflation, walmart, oil",114229474924378451,"""Egg prices have definitely turned a corner...with large egg prices, on average, down 59% since February 28th."""
34,"prices, gasoline, gas, inflation, walmart, oil",114297166113853713,"""Rates are plummeting, oil prices are plummeting, deregulation is happening. President Trump is not going to bend..."""
34,"prices, gasoline, gas, inflation, walmart, oil",114313939062499622,"Just out: ""INFLATION IS DOWN!!!"""
34,"prices, gasoline, gas, inflation, walmart, oil",114392734082544469,"Gas and grocery prices are WAY DOWN, just like I said they would be. Eggs are plentiful, and down 87%. NICE!"
34,"prices, gasoline, gas, inflation, walmart, oil",114478129470076553,"Costs down, NO INFLATION. Very different from what the Fed, and Fake News Media, were hoping for!"
34,"prices, gasoline, gas, inflation, walmart, oil",114770877118105998,"The Trump Administration has gotten costs down, very substantially, for the American Consumer. There has never been anything like this!"
34,"prices, gasoline, gas, inflation, walmart, oil",114783742318054096,"""GAS PRICES FALL"" ""GAS PRICES FALL BELOW $2.70 ON FIRST COAST"" ""HOLIDAY GAS PRICES LOWEST SINCE 2021"" ""GAS PRICES HIT 4-YEAR-LOW AHEAD OF JULY 4 HOLIDAY WEEKEND"""
34,"prices, gasoline, gas, inflation, walmart, oil",114789968096151564,"We brought the price of Eggs back to what they were supposed to be. When I took over on January 20th, the Fake News was screaming that, ""Egg prices have gone through the roof, quadrupled,"" they said. Now they're plentiful, and inexpensive. ""Thank you President Trump!"""
34,"prices, gasoline, gas, inflation, walmart, oil",114820908713657769,"I brought down costs more than any President in recorded history. The Crooked Democrats are using the opposite narrative, even though they know it is a total LIE. Remember this when you hear their phony soundbites. MAGA!!!"
34,"prices, gasoline, gas, inflation, walmart, oil",114857617089281818,"Consumer Prices LOW. Bring down the Fed Rate, NOW!!!"
