episodio_id,inizio,fine,n_post,n_parole_tot,primo_post,testo_unito,durata_min
27,2025-04-24 12:24:45.921000+00:00,2025-04-24 12:24:45.921000+00:00,1,30,114392923237368367,"I am not happy with the Russian strikes on KYIV. Not necessary, and very bad timing. Vladimir, STOP! 5000 soldiers a week are dying. Lets get the Peace Deal DONE!",0.0
28,2025-04-26 13:35:04.633000+00:00,2025-04-26 13:35:04.633000+00:00,1,281,114404524335638236,"No matter what deal I make with respect to Russia/Ukraine, no matter how good it is, even if it's the greatest deal ever made, The Failing New York Times will speak BADLY of it. Liddle' Peter Baker, the very biased and untalented writer for The Times, followed his Editor's demands and wrote that Ukraine should get back territory, including, I suppose, Crimea, and other ridiculous requests, in order to stop the killing that is worse than anything since World War II. Why doesn't this lightweight reporter say that it was Obama who made it possible for Russia to steal Crimea from Ukraine without even a shot being fired. It was also Liddle' Peter who wrote an absolutely fawning, yet terribly written Biography, on Obama. It was a JOKE! Did Baker ever criticize the Obama Crimea Giveaway? NO, not once, only TRUMP, and I've had nothing to do with this stupid war, other than early on, when I gave Ukraine Javelins, and Obama gave them sheets. This is Sleepy Joe Biden's War, not mine. It was a loser from day one, and should have never happened, and wouldn't have happened if I were President at the time. I'm just trying to clean up the mess that was left to me by Obama and Biden, and what a mess it is. With all of that being said, there was no reason for Putin to be shooting missiles into civilian areas, cities and towns, over the last few days. It makes me think that maybe he doesn't want to stop the war, he's just tapping me along, and has to be dealt with differently, through ""Banking"" or ""Secondary Sanctions?"" Too many people are dying!!!",0.0
29,2025-04-26 20:37:36.881000+00:00,2025-04-26 20:37:36.881000+00:00,1,47,114406185820566958,"American Ships, both Military and Commercial, should be allowed to travel, free of charge, through the Panama and Suez Canals! Those Canals would not exist without the United States of America. I've asked Secretary of State Marco Rubio to immediately take care of, and memorialize, this situation!",0.0
30,2025-04-30 13:13:42.757000+00:00,2025-04-30 13:13:42.757000+00:00,1,78,114427089568235019,"This is Biden's Stock Market, not Trump's. I didn't take over until January 20th. Tariffs will soon start kicking in, and companies are starting to move into the USA in record numbers. Our Country will boom, but we have to get rid of the Biden ""Overhang."" This will take a while, has NOTHING TO DO WITH TARIFFS, only that he left us with bad numbers, but when the boom begins, it will be like no other. BE PATIENT!!!",0.0
31,2025-05-01 18:20:43.231000+00:00,2025-05-01 18:20:43.231000+00:00,1,65,114433959082847679,"ALERT: All purchases of Iranian Oil, or Petrochemical products, must stop, NOW! Any Country or person who buys ANY AMOUNT of OIL or PETROCHEMICALS from Iran will be subject to, immediately, Secondary Sanctions. They will not be allowed to do business with the United States of America in any way, shape, or form. Thank you for your attention to this matter, PRESIDENT DONALD J. TRUMP",0.0
32,2025-05-02 03:36:05.709000+00:00,2025-05-02 03:36:05.709000+00:00,1,308,114436142904738936,"The Democrats are really out of control. They have lost everything, especially their minds! These Radical Left Lunatics are into the ""Impeachment thing"" again. They have already got two ""No Name,"" little respected Congressmen, total Whackjobs both, throwing the ""Impeachment"" of DONALD J. TRUMP around, for about the 20th time, even though they have no idea for what I would be Impeached. Maybe it should be for cleaning up the MESS that they left us on the Border, or the Highest Inflation in our Country's History or, perhaps, it should be the incompetent Withdrawal from Afghanistan, or Russia, Russia, Russia/Ukraine, Ukraine, Ukraine, or the Attack of Israel on October 7th that only proceeded because they allowed Iran to regain Great Wealth. These Congressmen stated that, they didn't know why they would Impeach me but, ""We just want to do it."" The Republicans should start to think about expelling them from Congress for all of the crimes that they have committed, especially around Election time(s). These are very dishonest people that won't let our Country heal! Why do we allow them to continuously use Impeachment as a weapon against the President of the United States who, by all accounts, is working hard to SAVE OUR COUNTRY. It's the same playbook that they used in my First Term, and Republicans are not going to allow them to get away with it again. These are total LOWLIFES, who hate our Country, and everything it stands for. Perhaps we should start playing this game on them, and expel Democrats for the many crimes that they have committed — And these are REAL crimes. Remember, ""Shifty"" Adam Schiff demanded a Pardon, and they had to use the power of the Auto Pen, and a Full Pardon, for him and the Unselect Committee of Political Thugs, to save them from Expulsion, and probably worse!",0.0
33,2025-05-02 12:45:48.746000+00:00,2025-05-02 12:45:48.746000+00:00,1,67,114438304481024140,"Gasoline just broke $1.98 a Gallon, lowest in years, groceries (and eggs!) down, energy down, mortgage rates down, employment strong, and much more good news, as Billions of Dollars pour in from Tariffs. Just like I said, and we're only in a TRANSITION STAGE, just getting started!!! Consumers have been waiting for years to see pricing come down. NO INFLATION, THE FED SHOULD LOWER ITS RATE!!! DJT",0.0
34,2025-05-08 10:31:32.314000+00:00,2025-05-08 10:31:32.314000+00:00,1,49,114471750357100883,"""Too Late"" Jerome Powell is a FOOL, who doesn't have a clue. Other than that, I like him very much! Oil and Energy way down, almost all costs (groceries and ""eggs"") down, virtually NO INFLATION, Tariff Money Pouring Into the U.S. — THE EXACT OPPOSITE OF ""TOO LATE!"" ENJOY!",0.0
35,2025-05-08 20:38:26.461000+00:00,2025-05-08 20:38:26.461000+00:00,1,139,114474136794655068,"Talks with Russia/Ukraine continue. The U.S. calls for, ideally, a 30-day unconditional ceasefire. Hopefully, an acceptable ceasefire will be observed, and both Countries will be held accountable for respecting the sanctity of these direct negotiations. If the ceasefire is not respected, the U.S. and its partners will impose further sanctions. Thousands of young soldiers are dying on a weekly basis, and everybody should want it to STOP. I do, and the United States of America does, also. As President, I will stay committed to securing Peace between Russia and Ukraine, together with the Europeans, and a Lasting Peace it will be! This ceasefire must ultimately build toward a Peace Agreement. It can all be done very quickly, and I will be available on a moment's notice if my services are needed. Thank you for your attention to this matter!",0.0
36,2025-05-12 10:24:41.381000+00:00,2025-05-12 10:24:41.381000+00:00,1,20,114494372667836601,"DRUG PRICES TO BE CUT BY 59%, PLUS! Gasoline, Energy, Groceries, and all other costs, DOWN. NO INFLATION!!! LOVE, DJT",0.0
37,2025-05-13 17:43:22.499000+00:00,2025-05-13 17:43:22.499000+00:00,1,53,114501759958997511,"No Inflation, and Prices of Gasoline, Energy, Groceries, and practically everything else, are DOWN!!! THE FED must lower the RATE, like Europe and China have done. What is wrong with Too Late Powell? Not fair to America, which is ready to blossom? Just let it all happen, it will be a beautiful thing!",0.0
38,2025-05-23 09:59:15.385000+00:00,2025-05-23 09:59:15.385000+00:00,1,84,114556558074574515,"Our negotiated deal with the United Kingdom is working out well for all. I strongly recommend to them, however, that in order to get their Energy Costs down, they stop with the costly and unsightly windmills, and incentivize modernized drilling in the North Sea, where large amounts of oil lay waiting to be taken. A century of drilling left, with Aberdeen as the hub. The old fashioned tax system disincentivizes drilling, rather than the opposite. U.K.'s Energy Costs would go WAY DOWN, and fast!",0.0
39,2025-05-26 00:46:06.771000+00:00,2025-05-26 00:46:06.771000+00:00,1,159,114571369956761390,"I've always had a very good relationship with Vladimir Putin of Russia, but something has happened to him. He has gone absolutely CRAZY! He is needlessly killing a lot of people, and I'm not just talking about soldiers. Missiles and drones are being shot into Cities in Ukraine, for no reason whatsoever. I've always said that he wants ALL of Ukraine, not just a piece of it, and maybe that's proving to be right, but if he does, it will lead to the downfall of Russia! Likewise, President Zelenskyy is doing his Country no favors by talking the way he does. Everything out of his mouth causes problems, I don't like it, and it better stop. This is a War that would never have started if I were President. This is Zelenskyy's, Putin's, and Biden's War, not ""Trump's,"" I am only helping to put out the big and ugly fires, that have been started through Gross Incompetence and Hatred.",0.0
40,2025-06-02 22:05:50.347000+00:00,2025-06-02 22:05:50.347000+00:00,1,25,114616038217949758,"The AUTOPEN should have stopped Iran a long time ago from ""enriching."" Under our potential Agreement — WE WILL NOT ALLOW ANY ENRICHMENT OF URANIUM!",0.0
41,2025-06-04 17:56:45.415000+00:00,2025-06-04 17:56:45.415000+00:00,1,182,114626383407680212,"I just finished speaking, by telephone, with President Vladimir Putin, of Russia. The call lasted approximately one hour and 15 minutes. We discussed the attack on Russia’s docked airplanes, by Ukraine, and also various other attacks that have been taking place by both sides. It was a good conversation, but not a conversation that will lead to immediate Peace. President Putin did say, and very strongly, that he will have to respond to the recent attack on the airfields. We also discussed Iran, and the fact that time is running out on Iran’s decision pertaining to nuclear weapons, which must be made quickly! I stated to President Putin that Iran cannot have a nuclear weapon and, on this, I believe that we were in agreement. President Putin suggested that he will participate in the discussions with Iran and that he could, perhaps, be helpful in getting this brought to a rapid conclusion. It is my opinion that Iran has been slowwalking their decision on this very important matter, and we will need a definitive answer in a very short period of time!",0.0
42,2025-06-06 11:45:47.435000+00:00,2025-06-06 11:45:47.435000+00:00,1,29,114636249329541108,"Prices are down, income is up, our Border is closed, gasoline is CHEAP, inflation is DEAD — Our Country is BOOMING! Companies are pouring into America like never before!",0.0
43,2025-06-12 21:09:07.838000+00:00,2025-06-12 21:09:07.838000+00:00,1,49,114672438335170335,"We remain committed to a Diplomatic Resolution to the Iran Nuclear Issue! My entire Administration has been directed to negotiate with Iran. They could be a Great Country, but they first must completely give up hopes of obtaining a Nuclear Weapon. Thank you for your attention to this matter!",0.0
44,2025-06-13 09:56:45.657000+00:00,2025-06-13 09:56:45.657000+00:00,1,190,114675456780398208,"I gave Iran chance after chance to make a deal. I told them, in the strongest of words, to ""just do it,"" but no matter how hard they tried, no matter how close they got, they just couldn't get it done. I told them it would be much worse than anything they know, anticipated, or were told, that the United States makes the best and most lethal military equipment anywhere in the World, BY FAR, and that Israel has a lot of it, with much more to come - And they know how to use it. Certain Iranian hardliner's spoke bravely, but they didn't know what was about to happen. They are all DEAD now, and it will only get worse! There has already been great death and destruction, but there is still time to make this slaughter, with the next already planned attacks being even more brutal, come to an end. Iran must make a deal, before there is nothing left, and save what was once known as the Iranian Empire. No more death, no more destruction, JUST DO IT, BEFORE IT IS TOO LATE. God Bless You All!",0.0
45,2025-06-15 04:32:40.635000+00:00,2025-06-15 04:32:40.635000+00:00,1,61,114685507052179501,"The U.S. had nothing to do with the attack on Iran, tonight. If we are attacked in any way, shape or form by Iran, the full strength and might of the U.S. Armed Forces will come down on you at levels never seen before. However, we can easily get a deal done between Iran and Israel, and end this bloody conflict!!!",0.0
46,2025-06-16 22:30:27.306000+00:00,2025-06-16 22:30:27.306000+00:00,1,40,114695407357588413,"Iran should have signed the ""deal"" I told them to sign. What a shame, and waste of human life. Simply stated, IRAN CAN NOT HAVE A NUCLEAR WEAPON. I said it over and over again! Everyone should immediately evacuate Tehran!",0.0
47,2025-06-16 23:18:11.223000+00:00,2025-06-16 23:24:57.625000+00:00,2,36,114695595047194931,"Somebody please explain to kooky Tucker Carlson that,"" IRAN CAN NOT HAVE A NUCLEAR WEAPON!"" || AMERICA FIRST means many GREAT things, including the fact that, IRAN CAN NOT HAVE A NUCLEAR WEAPON. MAKE AMERICA GREAT AGAIN!!!",6.773366666666666
48,2025-06-21 23:50:59.176000+00:00,2025-06-22 00:13:42.373000+00:00,2,130,114724035571020048,"We have completed our very successful attack on the three Nuclear sites in Iran, including Fordow, Natanz, and Esfahan. All planes are now outside of Iran air space. A full payload of BOMBS was dropped on the primary site, Fordow. All planes are safely on their way home. Congratulations to our great American Warriors. There is not another military in the World that could have done this. NOW IS THE TIME FOR PEACE! Thank you for your attention to this matter. || I will be giving an Address to the Nation at 10:00 P.M., at the White House, regarding our very successful military operation in Iran. This is an HISTORIC MOMENT FOR THE UNITED STATES OF AMERICA, ISRAEL, AND THE WORLD. IRAN MUST NOW AGREE TO END THIS WAR. THANK YOU!",22.719949999999997
49,2025-06-22 17:58:31.377000+00:00,2025-06-22 17:58:31.377000+00:00,1,328,114728311939211877,"Congressman Thomas Massie of Kentucky is not MAGA, even though he likes to say he is. Actually, MAGA doesn't want him, doesn't know him, and doesn't respect him. He is a negative force who almost always Votes ""NO,"" no matter how good something may be. He's a simple minded ""grandstander"" who thinks it's good politics for Iran to have the highest level Nuclear weapon, while at the same time yelling ""DEATH TO AMERICA"" at every chance they get. Iran has killed and maimed thousands of Americans, and even took over the American Embassy in Tehran under the Carter Administration. We had a spectacular military success yesterday, taking the ""bomb"" right out of their hands (and they would use it if they could!) but, as usual, and despite all of the praise and accolades received, this ""lightweight"" Congressman is against what was so brilliantly achieved last night in Iran. Massie is weak, ineffective, and votes ""NO"" on virtually everything put before him (Rand Paul, Jr.), no matter how good something may be. He is disrespectful to our great military, and all that they stand for, not even acknowledging their brilliance and bravery in yesterday's attack, which was a total and complete WIN. Massie should drop his fake act and start putting America First, but he doesn't know how to get there — he doesn't have a clue! He'll undoubtedly vote against the Great, Big, Beautiful Bill, even though non-passage means a 68% Tax Increase for everybody, and many things far worse than that. MAGA should drop this pathetic LOSER, Tom Massie, like the plague! The good news is that we will have a wonderful American Patriot running against him in the Republican Primary, and I'll be out in Kentucky campaigning really hard. MAGA is not about lazy, grandstanding, nonproductive politicians, of which Thomas Massie is definitely one. Thank you to our incredible military for the AMAZING job they did last night. It was really SPECIAL!!! MAKE AMERICA GREAT AGAIN.",0.0
