gruppo,post_id,timestamp_utc,testo,attori_trovati,meccanismi_trovati,giudizio
dentro,116019511106186158,2026-02-05 18:47:27.103000+00:00,"The United States is the most powerful Country in the World. I completely rebuilt its Military in my First Term, including new and many refurbished nuclear weapons. I also added Space Force and now, continue to rebuild our Military at levels never seen before. We are even adding Battleships, which are 100 times more powerful than the ones that roamed the Seas during World War II — The Iowa, Missouri, Alabama, and others. I have stopped Nuclear Wars from breaking out across the World between Pakistan and India, Iran and Israel, and Russia and Ukraine. Rather than extend “NEW START” (A badly negotiated deal by the United States that, aside from everything else, is being grossly violated), we should have our Nuclear Experts work on a new, improved, and modernized Treaty that can last long into the future. Thank you for your attention to this matter! PRESIDENT DONALD J. TRUMP","['iran', 'russia', 'ukraine']","['military', 'nuclear', 'war']",
dentro,115196697263809382,2025-09-13 11:15:04.245000+00:00,"A LETTER SENT BY PRESIDENT DONALD J. TRUMP TO ALL NATO NATIONS AND, THE WORLD: ""I am ready to do major Sanctions on Russia when all NATO Nations have agreed, and started, to do the same thing, and when all NATO Nations STOP BUYING OIL FROM RUSSIA. As you know, NATO'S commitment to WIN has been far less than 100%, and the purchase of Russian Oil, by some, has been shocking! It greatly weakens your negotiating position, and bargaining power, over Russia. Anyway, I am ready to ""go"" when you are. Just say when? I believe that this, plus NATO, as a group, placing 50% to 100% TARIFFS ON CHINA, to be fully withdrawn after the WAR with Russia and Ukraine is ended, will also be of great help in ENDING this deadly, but RIDICULOUS, WAR. China has a strong control, and even grip, over Russia, and these powerful Tariffs will break that grip. This is not TRUMP'S WAR (it would never have started if I was President!), it is Biden's and Zelenskyy's WAR. I am only here to help stop it, and save thousands of Russian and Ukrainian lives (7,118 lives lost last week, alone. CRAZY!). If NATO does as I say, the WAR will end quickly, and all of those lives will be saved! If not, you are just wasting my time, and the time, energy, and money of the United States. Thank you for your attention to this matter! DONALD J. TRUMP, PRESIDENT OF THE UNITED STATES OF AMERICA.""","['russia', 'russian', 'ukraine', 'ukrainian', 'zelenskyy']","['oil', 'sanctions', 'war']",
dentro,116396012068955371,2026-04-13 06:36:35.876000+00:00,The Trump card the president holds if Iran won't bend: a naval blockade: justthenews.com/government/sec,['iran'],"['blockade', 'naval']",
dentro,115384956858741387,2025-10-16 17:11:57.693000+00:00,"I have just concluded my telephone conversation with President Vladimir Putin, of Russia, and it was a very productive one. President Putin congratulated me and the United States on the Great Accomplishment of Peace in the Middle East, something that, he said, has been dreamed of for centuries. I actually believe that the Success in the Middle East will help in our negotiation in attaining an end to the War with Russia/Ukraine. President Putin thanked the First Lady, Melania, for her involvement with children. He was very appreciative, and said that this will continue. We also spent a great deal of time talking about Trade between Russia and the United States when the War with Ukraine is over. At the conclusion of the call, we agreed that there will be a meeting of our High Level Advisors, next week. The United States' initial meetings will be led by Secretary of State Marco Rubio, together with various other people, to be designated. A meeting location is to be determined. President Putin and I will then meet in an agreed upon location, Budapest, Hungary, to see if we can bring this ""inglorious"" War, between Russia and Ukraine, to an end. President Zelenskyy and I will be meeting tomorrow, in the Oval Office, where we will discuss my conversation with President Putin, and much more. I believe great progress was made with today's telephone conversation.","['putin', 'russia', 'ukraine', 'zelenskyy']",['war'],
dentro,116227789768118115,2026-03-14 13:35:27.272000+00:00,"Yet again, an intentionally misleading headline by the Fake News Media about the five tanker planes that were supposedly struck down at an Airport in Saudi Arabia, and of no further use. In actuality, the Base was hit a few days ago, but the planes were not ""struck"" or ""destroyed."" Four of the five had virtually no damage, and are already back in service. One had slightly more damage, but will be in the air shortly. None were destroyed, or close to that, as the Fake News said in headlines. The New York Times and The Wall Street Journal (in particular), and other Lowlife ""Papers"" and Media actually want us to lose the War. Their terrible reporting is the exact opposite of the actual facts! They are truly sick and demented people that have no idea the damage they cause the United States of America. Fortunately, as proven by our Great and Conclusive Election Win in 2024, the People of our Country understand what is happening far better than the Fake News Media! President DONALD J. TRUMP",['saudi'],"['destroyed', 'tanker', 'war']",
dentro,116637404995923093,2026-05-25 21:45:59.630000+00:00,"The Enriched Uranium (Nuclear Dust!) will either be immediately turned over to the United States to be brought home and destroyed or, preferably, in conjunction and coordination with the Islamic Republic of Iran, destroyed in place or, at another acceptable location, with the Atomic Energy Commission, or its equivalent, being witness to this process and event. Thank you for your attention to this matter! President DJT",['iran'],"['destroyed', 'nuclear']",
dentro,114683261634430212,2025-06-14 19:01:38.279000+00:00,"President Putin called this morning to very nicely wish me a Happy Birthday, but to more importantly, talk about Iran, a country he knows very well. We talked at length. Much less time was spent talking about Russia/Ukraine, but that will be for next week. He is doing the planned prisoner swaps - large numbers of prisoners are being exchanged, immediately, from both sides. The call lasted approximately 1 hour. He feels, as do I, this war in Israel-Iran should end, to which I explained, his war should also end.","['iran', 'putin', 'russia', 'ukraine']",['war'],
dentro,116445555373723862,2026-04-22 00:36:06.713000+00:00,"Iran doesn't want the Strait of Hormuz closed, they want it open so they can make $500 Million Dollars a day (which is, therefore, what they are losing if it is closed!). They only say they want it closed because I have it totally BLOCKADED (CLOSED!), so they merely want to ""save face."" People approached me four days ago, saying, ""Sir, Iran wants to open up the Strait, immediately."" But if we do that, there can never be a Deal with Iran, unless we blow up the rest of their Country, their leaders included! President DONALD J. TRUMP","['hormuz', 'iran']",['strait'],
dentro,116750814874397998,2026-06-14 22:27:37.043000+00:00,"This Great Deal will bring Peace and Security to the whole Region. Many presidents have tried to make Peace with Iran, and all have failed before me. The Leaders of the Region have, for the first time, found a President who can help them achieve real Peace. With the opening of the Strait upon the signing of the Deal on Friday, for purposes of mine removal, oil will flow on both ends again for the Region, and the World! President DONALD J. TRUMP",['iran'],"['mine', 'oil', 'strait']",
dentro,114732962923492888,2025-06-23 13:41:19.765000+00:00,"GET THIS ""BUM"" OUT OF OFFICE, ASAP!!! ·June 22 Congressman Thomas Massie of Kentucky is not MAGA, even though he likes to say he is. Actually, MAGA doesn't want him, doesn't know him, and doesn't respect him. He is a negative force who almost always Votes ""NO,"" no matter how good something may be. He's a simple minded ""grandstander"" who thinks it's good politics for Iran to have the highest level Nuclear weapon, while at the same time yelling ""DEATH TO AMERICA"" at every chance they get. Iran has killed and maimed thousands of Americans, and even took over the American Embassy in Tehran under the Carter Administration. We had a spectacular military success yesterday, taking the ""bomb"" right out of their hands (and they would use it if they could!) but, as usual, and despite all of the praise and accolades received, this ""lightweight"" Congressman is against what was so brilliantly achieved last night in Iran. Massie is weak, ineffective, and votes ""NO"" on virtually everything put before him (Rand Paul, Jr.), no matter how good something may be. He is disrespectful to our great military, and all that they stand for, not even acknowledging their brilliance and bravery in yesterday's attack, which was a total and complete WIN. Massie should drop his fake act and start putting America First, but he doesn't know how to get there — he doesn't have a clue! He'll undoubtedly vote against the Great, Big, Beautiful Bill, even though non-passage means a 68% Tax Increase for everybody, and many things far worse than that. MAGA should drop this pathetic LOSER, Tom Massie, like the plague! The good news is that we will have a wonderful American Patriot running against him in the Republican Primary, and I'll be out in Kentucky campaigning really hard. MAGA is not about lazy, grandstanding, nonproductive politicians, of which Thomas Massie is definitely one. Thank you to our incredible military for the AMAZING job they did last night. It was really SPECIAL!!! MAKE AMERICA GREAT AGAIN.","['iran', 'tehran']","['attack', 'military', 'nuclear']",
dentro,116671779106880540,2026-05-31 23:27:46.938000+00:00,"Fake News CNN said today, routinely, that my Iran Nuclear Deal doesn't talk about Nuclear, when actually it states, very clearly, that Iran will not have a Nuclear Weapon. It then goes on, in very strong and lengthy detail, to discuss various other aspects of Nuclear. In fact, that's what most of the agreement is about. CNN, and so many others in the Fake News Media, is a Low Ratings disaster. Even with new ownership, it is unlikely to ever get better!!! President DJT",['iran'],['nuclear'],
dentro,116524418935002706,2026-05-05 22:52:09.159000+00:00,"Based on the request of Pakistan and other Countries, the tremendous Military Success that we have had during the Campaign against the Country of Iran and, additionally, the fact that Great Progress has been made toward a Complete and Final Agreement with Representatives of Iran, we have mutually agreed that, while the Blockade will remain in full force and effect, Project Freedom (The Movement of Ships through the Strait of Hormuz) will be paused for a short period of time to see whether or not the Agreement can be finalized and signed. President DONALD J. TRUMP","['hormuz', 'iran']","['blockade', 'military', 'strait']",
dentro,114388111141848447,2025-04-23 16:00:59.171000+00:00,"Ukrainian President, Volodymyr Zelenskyy, is boasting on the front page of The Wall Street Journal that, ""Ukraine will not legally recognize the occupation of Crimea. There's nothing to talk about here."" This statement is very harmful to the Peace Negotiations with Russia in that Crimea was lost years ago under the auspices of President Barack Hussein Obama, and is not even a point of discussion. Nobody is asking Zelenskyy to recognize Crimea as Russian Territory but, if he wants Crimea, why didn't they fight for it eleven years ago when it was handed over to Russia without a shot being fired? The area also houses, for many years before ""the Obama handover,"" major Russian submarine bases. It's inflammatory statements like Zelenskyy's that makes it so difficult to settle this War. He has nothing to boast about! The situation for Ukraine is dire — He can have Peace or, he can fight for another three years before losing the whole Country. I have nothing to do with Russia, but have much to do with wanting to save, on average, five thousand Russian and Ukrainian soldiers a week, who are dying for no reason whatsoever. The statement made by Zelenskyy today will do nothing but prolong the ""killing field,"" and nobody wants that! We are very close to a Deal, but the man with ""no cards to play"" should now, finally, GET IT DONE. I look forward to being able to help Ukraine, and Russia, get out of this Complete and Total MESS, that would have never started if I were President!","['russia', 'russian', 'ukraine', 'ukrainian', 'zelenskyy']",['war'],
dentro,114685507052179501,2025-06-15 04:32:40.635000+00:00,"The U.S. had nothing to do with the attack on Iran, tonight. If we are attacked in any way, shape or form by Iran, the full strength and might of the U.S. Armed Forces will come down on you at levels never seen before. However, we can easily get a deal done between Iran and Israel, and end this bloody conflict!!!",['iran'],"['attack', 'attacked', 'come down']",
dentro,116392448970133700,2026-04-12 15:30:27.303000+00:00,"So, there you have it, the meeting went well, most points were agreed to, but the only point that really mattered, NUCLEAR, was not. Effective immediately, the United States Navy, the Finest in the World, will begin the process of BLOCKADING any and all Ships trying to enter, or leave, the Strait of Hormuz. At some point, we will reach an ""ALL BEING ALLOWED TO GO IN, ALL BEING ALLOWED TO GO OUT"" basis, but Iran has not allowed that to happen by merely saying, ""There may be a mine out there somewhere,"" that nobody knows about but them. THIS IS WORLD EXTORTION, and Leaders of Countries, especially the United States of America, will never be extorted. I have also instructed our Navy to seek and interdict every vessel in International Waters that has paid a toll to Iran. No one who pays an illegal toll will have safe passage on the high seas. We will also begin destroying the mines the Iranians laid in the Straits. Any Iranian who fires at us, or at peaceful vessels, will be BLOWN TO HELL! Iran knows, better than anyone, how to END this situation which has already devastated their Country. Their Navy is gone, their Air Force is gone, their Anti Aircraft and Radar are useless, Khamenei, and most of their ""Leaders,"" are dead, all because of their Nuclear ambition. The Blockade will begin shortly. Other Countries will be involved with this Blockade. Iran will not be allowed to profit off this Illegal Act of EXTORTION. They want money and, more importantly, they want Nuclear. Additionally and, at an appropriate moment, we are fully ""LOCKED AND LOADED,"" and our Military will finish up the little that is left of Iran! President DONALD J. TRUMP","['hormuz', 'iran', 'iranian', 'iranians', 'khamenei']","['blockade', 'blockading', 'interdict', 'military', 'mine', 'mines', 'navy', 'nuclear', 'strait', 'vessel', 'vessels']",
dentro,116446283085364326,2026-04-22 03:41:10.711000+00:00,Iran is collapsing financially! They want the Strait of Hormuz opened immediately- Starving for cash! Losing 500 Million Dollars a day. Military and Police complaining that they are not getting paid. SOS!!!,"['hormuz', 'iran']","['military', 'strait']",
dentro,114728311939211877,2025-06-22 17:58:31.377000+00:00,"Congressman Thomas Massie of Kentucky is not MAGA, even though he likes to say he is. Actually, MAGA doesn't want him, doesn't know him, and doesn't respect him. He is a negative force who almost always Votes ""NO,"" no matter how good something may be. He's a simple minded ""grandstander"" who thinks it's good politics for Iran to have the highest level Nuclear weapon, while at the same time yelling ""DEATH TO AMERICA"" at every chance they get. Iran has killed and maimed thousands of Americans, and even took over the American Embassy in Tehran under the Carter Administration. We had a spectacular military success yesterday, taking the ""bomb"" right out of their hands (and they would use it if they could!) but, as usual, and despite all of the praise and accolades received, this ""lightweight"" Congressman is against what was so brilliantly achieved last night in Iran. Massie is weak, ineffective, and votes ""NO"" on virtually everything put before him (Rand Paul, Jr.), no matter how good something may be. He is disrespectful to our great military, and all that they stand for, not even acknowledging their brilliance and bravery in yesterday's attack, which was a total and complete WIN. Massie should drop his fake act and start putting America First, but he doesn't know how to get there — he doesn't have a clue! He'll undoubtedly vote against the Great, Big, Beautiful Bill, even though non-passage means a 68% Tax Increase for everybody, and many things far worse than that. MAGA should drop this pathetic LOSER, Tom Massie, like the plague! The good news is that we will have a wonderful American Patriot running against him in the Republican Primary, and I'll be out in Kentucky campaigning really hard. MAGA is not about lazy, grandstanding, nonproductive politicians, of which Thomas Massie is definitely one. Thank you to our incredible military for the AMAZING job they did last night. It was really SPECIAL!!! MAKE AMERICA GREAT AGAIN.","['iran', 'tehran']","['attack', 'military', 'nuclear']",
dentro,116395566253303665,2026-04-13 04:43:13.269000+00:00,The United States to Blockade Ships Entering or Exiting Iranian Ports on April 13 at 10:00 A.M. ET. Thank you for your attention to this matter! President DJT,['iranian'],"['blockade', 'ports']",
dentro,116975606621428184,2026-07-24 15:15:06.894000+00:00,"President Xi, at our recent meeting in Beijing, China, told me that he would not, under any circumstances, give or sell Weapons to the Islamic Republic of Iran — And that statement included Chinese Companies. Considering our relationship, I take him at his word and, besides, l am doing him very big favors, also. Likewise, President Putin, despite the horrible War going on in Ukraine (The relationship remains, as it does with President Zelenskyy), told me that he would not sell Weapons to Iran. He understands that I do not sell Weapons to Ukraine, but to NATO Countries. They pay full price, and how those Weapons are distributed, I have no idea. Therefore, two major Countries that people speak of often in terms of Iran are, in my opinion, not participating. If they did, it would be very bad for them — Certainly not in their best interests. Thank you for your attention to this matter! President DONALD J. TRUMP","['iran', 'putin', 'ukraine', 'zelenskyy']",['war'],
dentro,114764221948518343,2025-06-29 02:10:54.634000+00:00,"Republicans must remember that they are fighting against a very evil, corrupt and, in many ways, incompetent (Policywise!) group of people, who would rather see our Country ""go down in flames"" than do the right thing and, MAKE AMERICA GREAT AGAIN! The Democrats would LOVE to see the Biggest Tax Hike in History (68%!), No Border Spending (Open Borders!), and a weak, underfunded Military, so we wouldn't be able to do things like we did just one week ago in Iran. We gave the Dems a Debt Extension because it was the right thing to do, but they won't do it for us. The one thing they do have is an ability to stick together, and vote as one group (They don't have GRANDSTANDERS!). They also have House and Senate Rules that give Great Power to their Leaders - Committee Chairmanships, etc. Republicans don't have that, have never been able to get it, BUT THEY SHOULD! What we do have is wonderful people and phenomenal Policy, and that should win Elections every single time!",['iran'],['military'],
dentro,116147572522796874,2026-02-28 09:35:09.246000+00:00,"Iran tried to interfere in 2020, 2024 elections to stop Trump, and now faces renewed war with United States: justthenews.com/government/sec",['iran'],['war'],
dentro,116406622416293152,2026-04-15 03:34:56.928000+00:00,"Will someone please tell Pope Leo that Iran has killed at least 42,000 innocent, completely unarmed, protesters in the last two months, and that for Iran to have a Nuclear Bomb is absolutely unacceptable. Thank you for your attention to this matter. AMERICA IS BACK!!! President DONALD J. TRUMP",['iran'],['nuclear'],
dentro,115854352740910460,2026-01-07 14:45:30.446000+00:00,"Remember, for all of those big NATO fans, they were at 2% GDP, and most weren’t paying their bills, UNTIL I CAME ALONG. The USA was, foolishly, paying for them! I, respectfully, got them to 5% GDP, AND THEY PAY, immediately. Everyone said that couldn’t be done, but it could, because, beyond all else, they are all my friends. Without my involvement, Russia would have ALL OF UKRAINE right now. Remember, also, I single-handedly ENDED 8 WARS, and Norway, a NATO Member, foolishly chose not to give me the Noble Peace Prize. But that doesn’t matter! What does matter is that I saved Millions of Lives. RUSSIA AND CHINA HAVE ZERO FEAR OF NATO WITHOUT THE UNITED STATES, AND I DOUBT NATO WOULD BE THERE FOR US IF WE REALLY NEEDED THEM. EVERYONE IS LUCKY THAT I REBUILT OUR MILITARY IN MY FIRST TERM, AND CONTINUE TO DO SO. We will always be there for NATO, even if they won’t be there for us. The only Nation that China and Russia fear and respect is the DJT REBUILT U.S.A. MAKE AMERICA GREAT AGAIN!!! President DJT","['russia', 'ukraine']",['military'],
dentro,116058518017586892,2026-02-12 16:07:25.336000+00:00,"AG Pam Bondi, under intense fire from the Trump Deranged Radical Left Lunatics, was fantastic at yesterday's Hearing on the never ending saga of Jeffrey Epstein, where the one thing that has been proven conclusively, much to their chagrin, was that President Donald J. Trump has been 100% exonerated of their ridiculous Russia, Russia, Russia type charges. Actually, it is the SLIMEBALL Democrats, many of them big Donors and Politicians, that have been proven GUILTY! ""Republican"" Loser, Sanctimonious RINO Congressman, Thomas Massie, made a total fool of himself yesterday, fighting aimlessly against a hopeless agenda of Hate and Stupidity, as most clearly stated by his crashing Job Approval Numbers in the Great Commonwealth of Kentucky, where a Military Hero Opponent, Ed Gallrein, is crushing him in the Polls. He is now in ""Wacky"" Liz Cheney territory! Nobody cared about Epstein when he was alive, they only cared about him when they thought he could create Political Harm to a very popular President who has brought our Country back from the brink of extinction, and very quickly, at that! In fact, this attempt by the Democrats to take away attention from tremendous Republican SUCCESS is backfiring badly. Maybe they should focus on their quest to Open our Borders to the World's Greatest Criminals, have Transgender for Everybody or, get Men, no matter their size or strength, to play in Women's Sports. Thank you for your attention to this matter! PRESIDENT DONALD J. TRUMP",['russia'],['military'],
dentro,115037569702889410,2025-08-16 08:46:50.359000+00:00,"A great and very successful day in Alaska! The meeting with President Vladimir Putin of Russia went very well, as did a late night phone call with President Zelenskyy of Ukraine, and various European Leaders, including the highly respected Secretary General of NATO. It was determined by all that the best way to end the horrific war between Russia and Ukraine is to go directly to a Peace Agreement, which would end the war, and not a mere Ceasefire Agreement, which often times do not hold up. President Zelenskyy will be coming to D.C., the Oval Office, on Monday afternoon. If all works out, we will then schedule a meeting with President Putin. Potentially, millions of people's lives will be saved. Thank you for your attention to this matter!","['putin', 'russia', 'ukraine', 'zelenskyy']",['war'],
dentro,116782087277472431,2026-06-20 11:00:36.045000+00:00,"Radical Left fools and Dumocrats realize how well we have done in our War against Iran, with their Country being completely defeated militarily. Obuma just kept giving them $Billions in cash, and never used our then depleted military for what should have been done to reign in the World's number one sponsor of terror, Iran. They had ZERO respect for him. They thought he was, like Sleepy Joe Biden, a weak and ineffective leader, and on this they were 100% correct. Iran got away with ”murder” for 47 years, until I came along. Then it all changed. AMERICA IS BACK!!! President DJT",['iran'],"['military', 'war']",
dentro,116346816254869135,2026-04-04 14:05:27.326000+00:00,Remember when I gave Iran ten days to MAKE A DEAL or OPEN UP THE HORMUZ STRAIT. Time is running out - 48 hours before all Hell will reign down on them. Glory be to GOD! President DONALD J. TRUMP,"['hormuz', 'iran']",['strait'],
dentro,116219996530067941,2026-03-13 04:33:31.896000+00:00,"We are totally destroying the terrorist regime of Iran, militarily, economically, and otherwise, yet, if you read the Failing New York Times, you would incorrectly think that we are not winning. Iran's Navy is gone, their Air Force is no longer, missiles, drones and everything else are being decimated, and their leaders have been wiped from the face of the earth. We have unparalleled firepower, unlimited ammunition, and plenty of time - Watch what happens to these deranged scumbags today. They've been killing innocent people all over the world for 47 years, and now I, as the 47th President of the United States of America, am killing them. What a great honor it is to do so! Thank you for your attention to this matter. President DONALD J. TRUMP",['iran'],"['drones', 'navy']",
dentro,116482569681977454,2026-04-28 13:29:20.235000+00:00,"Iran has just informed us that they are in a “State of Collapse.” They want us to “Open the Hormuz Strait,” as soon as possible, as they try to figure out their leadership situation (Which I believe they will be able to do!). Thank you for your attention to this matter! President DONALD J. TRUMP","['hormuz', 'iran']",['strait'],
dentro,114259775317961958,2025-04-01 00:03:29.905000+00:00,"""Trump tariff on Venezuelan oil buyers shakes global market, major refiners pull back"" miamiherald.com/news/nation-wo","['market', 'venezuelan']",['oil'],
dentro,116946506480346191,2026-07-19 11:54:33.979000+00:00,"Republicans should add Iran to the Russian Sanctions Bill. That's what Lindsey wanted to do, and it was going to happen. IMPORTANT!!! President DJT","['iran', 'russian']",['sanctions'],
dentro,116177065488835367,2026-03-05 14:35:36.194000+00:00,Melania Trump makes history presiding over UN Security Council — remarking on Iran war deaths: nypost.com/2026/03/02/us-news/,['iran'],['war'],
dentro,116953296612438865,2026-07-20 16:41:23.173000+00:00,"Every time Iran kills an American Soldier they will pay for that killing many times over! This directive has been passed on to Secretary of War, Pete Hegseth, Chairman of the Joint Chiefs of Staff, Daniel Caine, and every Leader in the Military. President DONALD J. TRUMP",['iran'],"['military', 'war']",
